Gene,TCGA-EL-A3ZG-01A-11R-A23N-07,TCGA-EL-A3ZG-11A-13R-A23N-07,TCGA-DJ-A3VL-01A-11R-A23N-07,TCGA-ET-A40S-01A-11R-A23N-07,TCGA-EL-A3ZN-01A-11R-A23N-07,TCGA-E8-A436-01A-12R-A23W-07,TCGA-FY-A40L-01A-11R-A23N-07,TCGA-EL-A3ZR-11A-11R-A23N-07,TCGA-EL-A3ZR-01A-11R-A23N-07,TCGA-EL-A3ZP-11A-11R-A23N-07,TCGA-EL-A3ZP-01A-11R-A23N-07,TCGA-EL-A3ZQ-01A-11R-A23N-07,TCGA-EL-A3ZQ-11A-11R-A23N-07,TCGA-EL-A3ZO-11A-12R-A23N-07,TCGA-EL-A3ZO-01A-11R-A23N-07,MAX,AVG,MED,MIN
FLOT2,2317.1541,1578.6517,2593.4622,3424.8518,2044.0476,2530.2663,2343.4245,1606.6556,3259.7865,2297.6203,2912.0095,3808.1037,1924.6862,1440.8721,2858.2697,3808.1037,2462.65745333333,2343.4245,1440.8721
FLT1,2833.552,1022.4719,4389.0424,1204.696,5590.0794,765.4791,1495.1172,2182.3627,3606.4057,2314.3703,2115.7352,806.483,2186.3026,2946.0458,481.4724,5590.0794,2262.64104666667,2182.3627,481.4724
FLT3,1.2347,2.4969,20.2578,9.2991,1.5873,8.3016,4.8828,2.995,0.3559,107.0371,5.9453,2.5932,9.1023,4.065,16.4325,107.0371,13.1057666666667,4.8828,0.3559
FLT4,668.8788,637.9526,482.965,464.4891,1095.6349,351.4355,251.6276,912.812,755.8719,1215.8104,1058.264,269.6921,787.1981,832.2247,164.6537,1215.8104,663.300693333334,668.8788,164.6537
FN1,76341.693,1990.6367,3543.2781,37640.823,91744.8413,972243.8672,788433.2682,5988.3527,1833.0961,7435.8084,231384.5739,132362.3987,4457.168,5626.3858,1360058.8284,1360058.8284,248072.334633333,37640.823,1833.0961
FNDC5,7.408,38.0774,128.9134,2205.7422,51.5873,64.6835,57.6172,59.2346,106.0498,102.1346,48.7515,38.2496,83.682,78.714,51.9267,2205.7422,208.184786666667,59.2346,7.408
FST,6.1733,11.8602,1.3812,2904.5682,9.5238,7.9557,7.8125,21.2978,2.1352,33.5002,19.4213,13.6143,33.7664,26.238,36.8088,2904.5682,209.07046,13.6143,1.3812
GAK,2123.0033,1694.1323,2246.3168,1837.4985,2035.3175,2187.1325,1969.7266,1692.5125,2365.1246,1887.0391,2332.1443,2137.4392,1777.2884,1627.4945,2557.2262,2557.2262,2031.29308666667,2035.3175,1627.4945
GBA,2199.2438,1405.7428,1411.6022,1979.7745,1050,1695.6071,2361.9792,1857.9035,1769.0391,1485.0373,1168.4503,1923.5008,1712.1045,1488.544,2665.0234,2665.0234,1744.9035,1712.1045,1050
GLTPD2,0,1.5169,0.7551,0,0.5159,0,0,2.6822,5.4021,2.7821,0,0,0,2.3171,0.4798,5.4021,1.09674666666667,0.4798,0
GNAO1,496.9519,38.7016,19.337,248.7504,37.6984,560.0138,260.7422,171.0483,40.5694,196.0985,130.4003,67.423,115.9803,105.6911,830.8274,830.8274,221.348906666667,130.4003,19.337
GPI,5349.1782,4759.0512,3939.2265,4000,2163.4921,3737.4611,4460.612,1681.198,1822.7758,3064.4469,3636.5438,5341.329,3807.3846,3570.9534,5857.8588,5857.8588,3812.76742666667,3807.3846,1681.198
GRIN3A,4.9387,19.3508,12.4309,11.6239,18.254,7.9557,5.8594,41.2646,9.6085,28.1892,19.8177,11.6694,20.5535,8.8692,6.2444,41.2646,15.10866,11.6694,4.9387
GRM5,0.6173,0,0,136.2315,2.7778,12.4524,3.2552,0,0.7117,0,9.5125,8.4279,0.2936,0,4.6011,136.2315,11.9254,0.7117,0
GTF2H2,172.5442,141.0737,193.8306,190.1662,144.0476,44.6212,90.8203,26.9551,21.3523,144.6226,112.9608,58.9951,113.3377,67.2579,31.2218,193.8306,103.58714,112.9608,21.3523
HCAR1,8.334,21.8789,9.6685,22.7828,19.0476,40.4704,14.6484,59.2346,7.4733,107.1024,91.1613,1.9449,75.4606,45.8241,17.4185,107.1024,36.1633533333333,21.8789,1.9449
HDC,0.3087,1.2484,2.302,279.9024,9.127,2.0754,0.9766,3.3278,0.3559,6.1281,5.9453,5.8347,3.5235,0.3695,3.9438,279.9024,21.6912733333333,3.3278,0.3087
HECA,518.5585,890.1373,670.3499,556.55,645.2381,611.2072,497.3958,843.594,445.5516,1020.9376,600.4756,352.0259,911.3998,831.116,516.6379,1020.9376,660.745013333333,611.2072,352.0259
HHATL,386.7582,136.7041,2775.3223,997.3265,2272.619,430.3009,963.5417,824.6256,2606.0498,664.6921,399.5244,1181.8476,1077.883,860.3104,1298.4964,2775.3223,1125.0668,963.5417,136.7041
HIBCH,938.6527,747.8152,1071.8232,729.513,758.3333,496.368,1138.6719,986.6889,1642.3488,623.4297,585.8105,764.3436,1002.1288,931.6334,938.2959,1642.3488,890.39046,931.6334,496.368
HMX2,0,0,0,0,0,0.3459,0,0,0,0,0,0,0,0,0,0.3459,0.02306,0,0
HOXB1,0,0,0,0,0.7937,0,0,0,0,0,0,0,0,0,0,0.7937,0.052913333333333,0,0
HOXC13,0,0,0,0,0,0,0,0,0,0,9.5125,0,0.2936,0,0,9.5125,0.65374,0,0
HOXD12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HP,0.926,0,206.2615,30044.8681,79.3651,3.8049,2.9297,5.99,97.5089,1.6342,5.9453,106.9692,9.9831,2.2173,83.1485,30044.8681,2043.43678666667,5.99,0
HPR,0,0,0.9208,157.1545,0.3968,0.3459,0.3255,0.3328,0,0,0,0,0.2936,1.8477,0,157.1545,10.7745066666667,0.2936,0
HS3ST5,0.3087,1.2484,0,109.7292,0,0.3459,0.3255,0,1.4235,2.4512,0.3964,0,1.1745,1.1086,0,109.7292,7.90079333333333,0.3459,0
HS3ST6,0.3087,0.6242,0,0.465,1.9841,1.3836,0.9766,0.9983,0,0.4085,0.7927,0.6483,0.2936,1.4782,0.6573,1.9841,0.734606666666667,0.6483,0
HYDIN,88.2784,105.4931,106.814,323.608,220.2381,265.9979,260.4167,300.1664,109.6085,347.2577,296.4725,38.2496,381.7074,367.3319,44.0391,381.7074,217.045286666667,260.4167,38.2496
IFNA14,0,0,0,0.465,0,0,0,0,0,0,0,0,0,0,0,0.465,0.031,0,0
IFNA16,0,0,0,0,0,0,0,0,0,0,0,0.6483,0,0,0,0.6483,0.04322,0,0
IL31RA,0,0.6242,0,184.5868,0,1.0377,0.3255,0,0,0.4085,7.9271,0,0,0.3695,0.986,184.5868,13.0843533333333,0.3255,0
IL7,9.5686,14.3571,33.1492,412.4143,15.4762,45.313,33.2031,52.579,13.1673,72.3113,43.2025,12.966,40.5197,36.2158,36.1515,412.4143,58.03964,36.1515,9.5686
ILF3,4664.2488,4739.0762,4492.1731,5498.547,5401.1905,5886.5444,5152.0182,4737.1048,4963.3452,6021.0397,6234.2449,5365.9643,6012.1853,5420.1774,4555.09,6234.2449,5276.19665333333,5365.9643,4492.1731
INPPL1,1645.806,1912.6092,2274.8619,2099.2677,2140.4762,2249.7406,1660.1562,2699.1681,2876.8683,2498.2126,2288.149,1073.5818,2761.7999,2093.8655,1552.5429,2876.8683,2121.80706,2140.4762,1073.5818
IVL,0.6173,0,0,286.8767,19.0476,87.8589,125.651,2.3295,0.7117,0,425.6837,34.3598,0.2936,1.8477,4334.5658,4334.5658,354.65622,2.3295,0
