Gene,TCGA-GS-A9TZ-01A-11R-A39D-07,TCGA-GS-A9TW-01A-11R-A38C-07,TCGA-FF-8042-01A-11R-2213-07,TCGA-FA-A6HN-01A-11R-A31O-07,TCGA-FA-A7Q1-01A-11R-A38C-07,TCGA-FF-A7CR-01A-11R-A38C-07,TCGA-GS-A9TY-01A-11R-A39D-07,TCGA-GS-A9TQ-01A-11R-A38C-07,TCGA-FF-A7CQ-01A-11R-A38C-07,TCGA-FA-A4BB-01A-11R-A31O-07,MAX,AVG,MED,MIN
FASTK,1005.171,845.3311,2269.2133,1662.4079,1259.7584,917.5972,2814.1603,880.7649,1155.7143,2778.6706,2814.1603,1558.8789,1207.73635,845.3311
OGFR,1645.9825,1883.6281,3064.7382,2301.2285,2045.9898,2644.3858,2628.5799,2276.378,2709.1893,2130.7524,3064.7382,2333.08525,2288.80325,1645.9825
TPPP,29.4352,48.1283,6.2186,34.398,25.5576,25.0289,16.1788,9.3738,30,15.3397,48.1283,23.96589,25.29325,6.2186
NXPH2,0,0.8227,0,0,0,0.3851,0,0.7499,0,2.9218,2.9218,0.48795,0,0
MTF2,1348.4487,980.6664,1283.8523,912.0393,1073.8848,1031.96,570.0649,919.0101,906.0714,1189.1892,1348.4487,1021.51871,1006.3132,570.0649
HECW1,848.8186,0.4114,2.8266,1.4742,1.8587,0,0.9517,0,0,1.4609,848.8186,85.78021,1.2063,0
MCF2L,77.9634,87.2069,67.839,254.0541,64.5911,118.5984,54.2466,262.2872,81.7857,91.3075,262.2872,115.98799,84.4963,54.2466
GRIP1,1746.6189,1.2341,0.5653,7.371,19.9814,2.3104,0,926.8841,2.1429,6.5741,1746.6189,271.36822,4.44225,0
NPTXR,112.9674,48.951,28.2662,85.5037,9.7584,72.7763,8.5652,22.1222,24.2857,69.3937,112.9674,48.25898,38.6086,8.5652
MACF1,5120.1273,4232.0033,875.1226,7293.8575,2801.1152,3610.3196,1645.4796,829.0214,5726.0714,2000,7293.8575,3413.31179,3205.7174,829.0214
SLC16A8,2.7844,5.3476,4.5226,4.4226,19.9814,2.3104,2.8551,1.4998,0,5.8437,19.9814,4.95676,3.63885,0
