Gene,TCGA-B8-4143-01A-01R-1188-07,TCGA-KN-8428-01A-11R-2315-07,TCGA-KN-8428-11A-01R-2315-07,TCGA-B0-5098-01A-01R-1420-07,TCGA-UZ-A9PS-01A-11R-A42S-07,TCGA-UZ-A9PS-05A-11R-A42S-07,TCGA-P4-A5EB-01A-11R-A28H-07,TCGA-SX-A71S-01A-11R-A33Z-07,TCGA-HE-7130-01A-11R-1965-07,TCGA-A3-A8OV-01A-11R-A37O-07,TCGA-B9-A44B-01A-11R-A24Z-07,TCGA-IA-A83S-01A-11R-A355-07,MAX,AVG,MED,MIN
FLT4,1583.6228,193.0514,975.6957,159.6324,27.9035,780.1369,73.3182,76.9884,302.267,1219.1261,434.7291,74.1652,1583.6228,491.719725,247.6592,27.9035
FMO3,34.2432,221.4502,433.2511,10.211,18.0995,45.0168,28.7226,97.7451,38.7909,63.32,32.6355,106.969,433.2511,94.204575,41.90385,10.211
MTOR,742.4318,2650.7553,1523.776,837.985,1823.9065,946.2815,1328.4203,1452.5899,3272.0403,659.6552,1344.8276,1051.8622,3272.0403,1469.5443,1336.62395,659.6552
FRG1,467.4938,384.8943,580.8383,372.3622,555.0528,678.9651,537.7929,433.2484,269.0176,400.7373,289.4089,680.323,680.323,470.84455,450.3711,269.0176
GBA,1335.9801,791.8429,1344.1353,2229.4078,1784.3137,1978.8839,2651.5495,1531.8426,4643.8287,2388.3769,1451.9704,2817.5643,4643.8287,2079.141342,1881.5988,791.8429
GDF2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GML,0,0,0,0.3404,0,0,0,0,0,0,0,0,0.3404,0.028366667,0,0
GPC1,1130.0248,874.0181,1504.0507,2594.6222,3093.5143,2214.6421,2338.6243,2372.2993,2854.4081,1347.0671,1325.1232,2344.7612,3093.5143,1999.429617,2276.6332,874.0181
GTF2H3,278.4119,135.3474,214.8644,267.8693,355.5807,155.0064,181.7838,189.8292,305.7935,162.6369,62.1921,170.4373,355.5807,206.646075,185.8065,62.1921
HBG2,0.9926,0.3021,2.4657,1.0211,3.7707,0,0,0,0.5038,0,11.6995,5.705,11.6995,2.205041667,0.7482,0
HOXB3,687.3449,988.5196,772.1029,1691.9673,384.2383,164.2882,278.5336,1370.6953,577.8338,467.5268,619.4581,239.6106,1691.9673,686.8432833,598.64595,164.2882
HTR2A,23.3251,0.9063,0,0,2.2624,0.9282,3.4014,1.5096,0,0,1.2315,1.4263,23.3251,2.9159,1.07985,0
CXCL10,3502.2333,156.1934,83.4801,41.5248,16.2142,204.6641,10.582,16.2279,126.4484,224.6558,20.936,79.8702,3502.2333,373.58585,81.67515,10.582
ITK,390.0744,28.7009,39.4505,13.9551,12.0664,74.2546,6.8027,21.5115,46.8514,41.635,9.2365,42.0745,390.0744,60.551125,34.0757,6.8027
KDR,2051.6129,359.5166,2053.1877,154.5269,68.6275,638.1251,118.2918,133.2201,961.2091,4951.9679,381.7734,166.1586,4951.9679,1003.1848,370.645,68.6275
KIF2A,727.5434,456.1934,333.5682,541.1845,628.9593,249.6809,321.9955,328.7103,837.2796,179.5511,150.8621,261.0044,837.2796,418.0443917,331.13925,150.8621
KIT,296.2779,7430.5136,1294.4699,17.6991,40.3469,53.3705,41.9501,123.4079,227.204,51.1764,36.9458,92.7065,7430.5136,808.83905,73.0385,17.6991
KPNA2,970.7196,2552.568,593.8711,4232.1307,757.5415,911.0106,647.3923,477.0261,2258.9421,274.0974,393.4729,556.239,4232.1307,1218.750942,702.4669,274.0974
LCK,554.8387,68.8822,69.0384,39.1423,15.46,157.3268,17.3847,32.0785,64.9874,117.966,11.6995,88.4277,554.8387,103.1026833,66.9348,11.6995
MET,7296.2779,10331.7221,3301.5146,6009.5303,11717.5716,7941.0604,5315.5707,18987.829,1023.1738,4176.9489,6134.8522,9822.6097,18987.829,7671.5551,6715.56505,1023.1738
MT1G,210.9181,184.8943,24719.2673,17.6991,53.1674,5789.0707,24.5654,2.6418,12.5945,9069.0665,2.4631,2081.6174,24719.2673,3513.997133,119.03085,2.4631
MYF5,0,0.6042,2.1134,0,0,0,0,0,0,0,0,0,2.1134,0.226466667,0,0
MYH7,0.9926,0.3021,5.988,0,0,2.3205,1.1338,1.5096,0,0,0,2.1394,5.988,1.198833333,0.64735,0
PAX5,3.4739,6.0423,0.7045,1.0211,0.3771,0.4641,0.3779,0,10.5793,0,0,0.7131,10.5793,1.979441667,0.5843,0
PDCD1,449.1315,24.1692,21.4864,9.8707,2.6395,18.5636,8.6924,8.6801,21.1587,5.6381,5.5419,7.8444,449.1315,48.61804167,9.28155,2.6395
PDGFB,1022.8288,214.8036,1070.4473,613.6828,197.9638,478.4778,363.5676,210.2085,420.1511,1138.8919,600.3695,183.2736,1138.8919,542.8888583,449.31445,183.2736
PDGFRA,127.2605,147.716,1033.4167,61.5385,8.537,10.9943,6.1338,281.5473,132.1965,30.9531,163.2204,150.9618,1033.4167,179.5396583,129.7285,6.1338
PDGFRB,8721.5881,2002.719,3656.9215,1030.2927,146.3047,651.5837,125.0945,465.3269,1111.335,3692.9416,2432.266,317.3415,8721.5881,2029.476267,1070.81385,125.0945
PLA2G4A,89.33,65.861,190.9123,50.034,8.2956,38.0555,51.3983,86.0459,100.2519,31.2263,129.9261,135.4941,190.9123,81.40258333,75.95345,8.2956
PPP3CC,600.1489,409.2689,391.7788,221.5146,218.0995,289.9037,181.7574,322.5738,324.8212,385.2456,156.7611,306.2809,600.1489,317.3462,314.42735,156.7611
