Gene,TCGA-DK-A6AW-01A-11R-A30C-07,TCGA-YC-A89H-01A-11R-A36F-07,TCGA-MV-A51V-01A-11R-A26T-07,TCGA-DK-A1AC-01A-11R-A13Y-07,TCGA-DK-A3WW-01A-22R-A23N-07,TCGA-DK-A6B6-01A-11R-A30C-07,TCGA-ZF-A9RC-01A-11R-A38B-07,TCGA-SY-A9G5-01A-11R-A38B-07,TCGA-XF-AAMG-01A-11R-A42T-07,TCGA-FD-A6TC-01A-21R-A33J-07,MAX,AVG,MED,MIN
PDGFRA,161.7721,221.7794,238.9053,524.7497,76.0389,338.9794,717.2024,748.2012,565.7664,964.5865,964.5865,455.79813,431.86455,76.0389
PDGFRB,921.8377,1368.9379,1236.1624,1036.0518,1096.2998,242.2512,2870.6949,4811.0259,2666.9866,3910.4741,4811.0259,2016.07223,1302.55015,242.2512
PLS1,657.5179,782.1818,1452.0295,18576.1288,269.4497,1458.2569,302.719,298.3802,1549.173,584.785,18576.1288,2593.06218,719.84985,269.4497
PNLIPRP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POU3F3,0,0,0,454.6727,0,0,0,0,28.3982,0,454.6727,48.30709,0,0
PKIB,97.2554,31.134,210.3321,9593.6297,188.8046,46.3127,27.7946,47.1725,309.9325,40.5733,9593.6297,1059.29414,72.21395,27.7946
MAP2K1,1106.0621,1639.6168,899.1759,1540.3115,1757.7989,920.2694,1217.0332,1205.1776,1059.8028,1718.527,1757.7989,1306.37752,1211.1054,899.1759
MAP2K2,5451.074,2800.1437,2443.4194,1524.3262,2619.0702,1763.4459,2555.287,2746.8031,3164.935,1876.957,5451.074,2694.54615,2587.1786,1524.3262
PTK6,1856.2053,4075.2006,1963.0996,95.9048,998.1025,3462.1727,607.855,1304.3478,44.0662,803.0871,4075.2006,1521.00416,1151.22515,44.0662
RAB3A,113.3652,84.3013,28.9053,106.7553,39.8482,73.6254,102.719,48.3092,82.7466,48.0706,113.3652,72.86461,78.186,28.9053
RAF1,2190.3341,1756.331,6729.3973,4541.4771,1795.0664,1920.1967,3277.9456,1732.3103,8174.6688,2254.4653,8174.6688,3437.21926,2222.3997,1732.3103
REG1B,0,0,0,0,0,0,0,0,231.5926,0,231.5926,23.15926,0,0
RET,19.6897,2.8739,3.075,11.5506,4.7438,2.375,11.4804,18.187,55.8172,8.3793,55.8172,13.81719,9.92985,2.375
RLN1,0.5967,0,2.46,79.104,2.8463,1.7813,1.2085,2.8417,19.0954,2.6461,79.104,11.258,2.55305,0
SCN4A,5.3699,0,34.4403,10.5005,0,0,2.4169,0,435.7661,1.323,435.7661,48.98167,1.86995,0
CCL22,33.4129,42.1506,30.7503,32.5516,16.129,117.5631,15.1057,8801.364,20.5642,72.3264,8801.364,918.19178,32.98225,15.1057
XCL1,1.79,51.2513,14.1451,35.7018,115.2751,10.6876,204.2296,58.5394,52.8795,64.8291,204.2296,60.93285,52.0654,1.79
SELL,18.4964,92.923,672.8167,23045.5023,118.5958,574.159,60.423,104.0068,2049.08,169.7905,23045.5023,2690.57935,144.19315,18.4964
SEMG2,2141.4081,0,0,5.6003,0,8.3125,0.6042,0,1.9585,0,2141.4081,215.78836,0.3021,0
FBXW4,2940.9308,907.1967,1030.7503,988.0994,904.649,765.9412,960.7251,1233.3049,1582.4675,917.7508,2940.9308,1223.18157,974.41225,765.9412
SMARCD3,343.0788,307.5081,325.3383,295.4148,133.7761,223.2511,501.5106,184.7116,281.5343,234.1786,501.5106,283.03023,288.47455,133.7761
SSX1,0,0,519.6802,0,0,0,0,0.5683,0.9792,1.323,519.6802,52.25507,0,0
SSX5,0,0,33.8253,2.8001,0,0,0,0,0.4896,429.548,429.548,46.6663,0,0
SSX4,0.5967,0,335.1784,7.3504,0,0,0,0,67.0786,373.9802,373.9802,78.41843,0.29835,0
STK11,1976.1337,1503.5325,1455.7196,1348.9674,1413.6622,1443.4131,1446.5257,1468.599,1667.6622,2807.0562,2807.0562,1653.12716,1462.1593,1348.9674
STXBP1,177.8043,190.6359,378.2288,729.4365,127.6091,54.6253,416.9184,126.1722,350.0818,522.161,729.4365,307.36733,270.35885,54.6253
TAT,19.6897,0,16.6052,0.7,0,0.5938,6.0423,4.5467,2.9377,1.7641,19.6897,5.28795,2.3509,0
SERPINA7,0.5967,0,24.6002,7.7004,0,0.5938,2.4169,0,30.8464,0,30.8464,6.67544,0.59525,0
TEK,191.5274,25.3862,134.6863,53.5527,31.3093,48.6877,20.5438,77.863,105.759,67.9162,191.5274,75.72316,60.73445,20.5438
TERT,1.1933,41.1927,20.9102,19.951,15.1803,5.9375,109.3656,15.9136,243.8332,13.6714,243.8332,48.71488,17.9323,1.1933
TGFB3,254.1766,299.8443,220.1722,75.6038,378.0835,102.1255,915.4079,1182.7224,238.4473,721.0584,1182.7224,438.76419,277.01045,75.6038
TOP2A,1251.1933,2507.4841,4939.1144,3839.342,3451.6129,1328.2251,4212.0846,3608.9798,7877.5742,7987.6516,7987.6516,4100.3262,3724.1609,1251.1933
TOP2B,2198.0907,4187.7619,3438.4994,12681.4841,2551.2334,10167.4235,4865.861,3440.7502,2524.5057,4319.2944,12681.4841,5037.49043,3814.25605,2198.0907
TRO,16.1098,35.9238,149.4465,43.0522,15.1803,7.7188,299.0937,192.1,622.3132,344.4322,622.3132,172.53705,96.24935,7.7188
UMOD,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VEGFA,13387.8282,5973.8953,4373.9237,4913.8957,3842.0304,1299.1312,4315.4079,4075.0213,7640.5958,2183.462,13387.8282,5200.51915,4344.6658,1299.1312
NPHS2,0,0,32.4047,0,0,446.7634,0,0,0,0.441,446.7634,47.96091,0,0
IRS4,0.5967,0,0,0,0,11.8751,1.2085,0,211.5179,2.6461,211.5179,22.78443,0.29835,0
MMP23B,22.673,116.8722,49.2005,89.2545,36.0531,5.9375,359.5166,351.8045,155.2111,281.3671,359.5166,146.78901,103.06335,5.9375
CYP4F2,0.5967,0.479,25.2153,908.9954,0.9488,1.1875,3.0211,0.5683,391.6999,0,908.9954,133.2712,1.06815,0
PAGE1,0,0,20.9102,0,0,0,1.8127,0,0.9792,0,20.9102,2.37021,0,0
TNFRSF11A,16.1098,1.437,95.941,35.0018,23.2448,104.5005,12.6888,6.8201,75.4022,22.0507,104.5005,39.31967,22.64775,1.437
TRIM24,494.6301,1871.3926,1271.8327,1767.9384,349.1461,1917.8216,1350.4532,1298.6644,2480.9291,1388.7541,2480.9291,1419.15623,1369.60365,349.1461
CPNE1,4560.9308,3684.1672,1023.9668,4329.23,2964.6157,2625.4622,5637.8006,4541.6084,2711.513,11344.4631,11344.4631,4342.37578,4006.6986,1023.9668
PLOD3,2492.8401,2338.4026,2719.5572,1527.1264,2271.3472,1109.1303,1658.6103,1404.9446,2335.5105,1977.9493,2719.5572,1983.54185,2124.64825,1109.1303
ATP6V0E1,3735.6802,3874.0271,2686.9619,4751.4876,4372.3909,4586.7406,2634.4411,3809.605,2102.9387,2363.3958,4751.4876,3491.76689,3772.6426,2102.9387
CLDN2,0,9.1007,3.075,4.9002,0,2.9688,1.8127,0,2250.8054,11.5237,2250.8054,228.41865,3.0219,0
MTA1,1739.8568,1542.8092,739.2374,1844.9422,991.4611,753.4723,1860.423,954.2484,1917.3709,1798.4564,1917.3709,1414.22777,1641.333,739.2374
SLC28A2,0,0.479,338.2534,0.7,0,0,0,0,6.3651,0,338.2534,34.57975,0,0
MTA2,3205.2506,3694.8868,2496.31,6206.1603,3180.74,2698.0129,2557.0997,3818.1302,4848.7549,2979.0518,6206.1603,3568.43972,3192.9953,2496.31
NOLC1,1809.0692,3083.2236,1389.2989,4681.4841,5590.1328,1622.1327,1567.3716,1269.1105,2589.6258,2253.1422,5590.1328,2585.45914,2031.1057,1269.1105
CHST2,291.1695,383.6666,274.2927,129.8565,5711.575,216.126,656.1934,147.7693,122.8958,74.0904,5711.575,800.76352,245.20935,74.0904
PAGE4,0,0,0,0,0,0,0,0,454.3719,0,454.3719,45.43719,0,0
GPRASP1,23.8663,40.2347,43.0504,36.4018,20.8729,81.9379,276.7372,78.4314,93.5183,70.1213,276.7372,76.51722,56.58585,20.8729
ACAP1,38.1862,76.6375,8.6101,155.7578,565.4649,211.376,27.1903,507.5305,41.1285,43.6604,565.4649,167.55422,60.14895,8.6101
XYLB,29.8329,136.5106,391.1439,266.0133,77.3245,333.0953,199.3958,44.8991,3781.8623,89.0849,3781.8623,534.91626,167.9532,29.8329
SSX5,0,0,12.9151,6.6503,0,0,0,0,4.8962,29.989,29.989,5.44506,0,0
CCT2,2738.6635,5104.5384,2898.524,5843.5422,4348.6717,2405.2927,56035.0453,2819.551,2943.135,3394.9283,56035.0453,8853.18921,3169.03165,2405.2927
UTS2,0,0.479,0.615,6956.1988,1.8264,0,0.6042,2.2734,42.1175,0,6956.1988,700.41143,0.6096,0
CACFD1,1813.8425,877.9787,2162.9766,1391.6696,156.5465,1337.1314,1131.1178,655.8681,2141.1295,1121.4994,2162.9766,1278.97601,1234.1246,156.5465
HRH3,0,0.479,49.2005,969.5485,0,304.5952,0,0,311.4014,0,969.5485,163.52246,0.2395,0
CLSTN1,3905.1313,7438.1511,4311.1931,2299.615,7214.3928,2312.6257,4717.8248,3390.736,1924.7153,12148.6218,12148.6218,4966.30069,4108.1622,1924.7153
FBXO21,659.3079,805.173,771.2177,1041.6521,558.3491,1058.6613,1155.8912,744.5297,1365.0741,1183.6825,1365.0741,934.35386,923.41255,558.3491
RFTN1,372.315,240.9292,496.925,666.4333,1202.0873,214.9385,752.2659,537.0844,623.7821,519.5149,1202.0873,562.62756,528.29965,214.9385
MDN1,317.4224,489.0432,455.7196,1331.4666,539.8482,586.034,471.9033,217.1071,852.9265,250.4961,1331.4666,551.1967,480.47325,217.1071
ACSL6,0.5967,0.479,6.7651,4.5502,2.3719,0,1.2085,3.4101,17.1369,0.882,17.1369,3.74004,1.7902,0
ZNF318,438.5442,442.1027,340.7134,864.5432,524.6679,477.971,291.2387,316.5672,1097.2493,730.3197,1097.2493,552.39173,460.03685,291.2387
DKKL1,7.7566,0,1.23,4.2002,0.4744,0,9.6677,10.2302,138.5638,1.7641,138.5638,17.3887,2.98215,0
TAS2R1,0,0.479,0.615,208.2604,0,0,27.7946,0,0,0.441,208.2604,23.759,0.2205,0
TXNDC11,2825.179,988.6241,1057.8106,823.9412,1080.6452,1420.8505,761.3293,1567.4908,911.6815,883.3517,2825.179,1232.09039,1023.21735,761.3293
LUZP4,0,0,0,0,1.4231,0,0,0,117.0203,130.9813,130.9813,24.94247,0,0
RBMX2,368.7351,363.5493,325.9533,388.5194,606.2619,639.4718,433.8369,501.8471,620.8443,522.161,639.4718,477.11801,467.842,325.9533
FXYD4,6242.8401,318.0457,1604.551,1.0501,0,0,25.3776,40.9207,43.087,3.0871,6242.8401,827.89593,33.14915,0
SLCO1C1,5.3699,0,3.69,1.7501,0,1.1875,0,0,0.9792,0,5.3699,1.29767,0.4896,0
FTHL17,0,0,57.1956,49.3525,0,0,306.3444,0,147.3771,1.323,306.3444,56.15926,0.6615,0
XRN1,504.7733,550.8322,504.92,766.8883,1325.4269,834.8165,680.3625,895.709,591.4668,1677.1775,1677.1775,833.2373,723.6254,504.7733
PGPEP1,1101.432,826.7273,669.7417,393.7697,127.6091,1568.695,1273.1118,439.8977,678.1304,410.1433,1568.695,748.9258,673.93605,127.6091
C2orf42,174.2243,147.5272,171.5867,205.4603,117.1727,237.5011,203.0211,193.8051,162.0658,196.2514,237.5011,180.86157,184.0147,117.1727
RNF31,1134.8449,710.6215,730.5289,765.6878,1054.0797,1490.4324,970.4773,1371.9807,729.2081,756.3396,1490.4324,971.42009,868.08255,710.6215
SLC38A4,4.1766,4.7898,0,15687.0844,32.2581,101.5317,267.6737,26.7121,3544.8839,61.742,15687.0844,1973.08523,47.00005,0
ZNF692,1607.9952,956.0532,504.305,400.77,716.7932,536.1588,1209.0634,617.7891,511.658,584.785,1607.9952,764.53709,601.28705,400.77
CENPJ,102.0286,164.7707,225.0923,511.7256,277.9886,159.1258,470.0906,289.2867,404.9198,263.7266,511.7256,286.87553,270.8576,102.0286
